date,year,month,commodity,source_commodity,monthly_average_price,admin1,admin2,market,pricetype,currency,unit
2013-02-15,2013,2,Cabbage,Cabbage,38.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2013-03-15,2013,3,Cabbage,Cabbage,42.85,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2013-04-15,2013,4,Cabbage,Cabbage,57.5,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2014-07-15,2014,7,Cabbage,Cabbage,56.86,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-05-15,2017,5,Cabbage,Cabbage,45.91,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-06-15,2017,6,Cabbage,Cabbage,52.8,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-07-15,2017,7,Cabbage,Cabbage,60.29,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-08-15,2017,8,Cabbage,Cabbage,66.81,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-09-15,2017,9,Cabbage,Cabbage,93.86,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-10-15,2017,10,Cabbage,Cabbage,66.94,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-11-15,2017,11,Cabbage,Cabbage,57.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-12-15,2017,12,Cabbage,Cabbage,51.59,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
